Player Name,Team,League,POS,GP,MIN,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,P,ACRO,AW,BR,DR,DW,EG,ES,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLROL,POSL,LPOPP,PK,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Fraser Forster,SOU,EPL,G,38,3420,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,419,0,4,233,1,6,2,0,0,1101,0,36,2,199,0,5,0,446,199,0,252,0,0,0,0,0,1
Yohann Pele,OM,FRAN,G,38,3420,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,810,0,16,354,0,19,2,1,0,1557,0,13,2,136,0,3,0,299,136,0,285,0,0,0,0,0,0
Steve Cook,BOU,EPL,D,38,3420,5,0,0,2,0,0,0,0,29,9,76,14,0,3,1,2,1,39,46,31,1406,0,145,228,19,223,1,2,1,2425,37,141,113,509,9,77,1,399,286,0,168,0,0,0,1,0,24
Cesar Azpilicueta,CHE,EPL,M/D,38,3420,4,0,0,1,4,0,4,0,18,6,71,41,7,22,1,17,1,8,84,63,2145,7,81,206,12,199,0,0,0,3037,25,450,142,1061,20,93,0,398,254,0,116,5,0,2,0,0,15
Francesco Acerbi,SAS,SERI,D,38,3420,2,0,0,4,0,0,0,0,17,8,105,4,2,8,0,8,0,39,55,45,1469,2,88,246,20,196,1,2,0,2317,25,136,76,439,10,18,0,297,204,1,142,1,0,3,1,3,22
Geronimo Rulli,RSO,LIGA,G,38,3420,4,0,0,0,0,0,0,0,0,0,7,0,0,2,1,2,0,0,5,5,1020,0,6,323,0,15,1,5,0,1767,0,27,6,148,1,10,0,389,151,0,409,0,0,1,0,0,0
Guillermo Ochoa,GRA,LIGA,G,38,3420,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,638,0,7,335,0,9,3,1,0,1523,0,46,3,197,0,11,0,535,198,0,341,0,0,0,0,0,0
Benoit Costil,REN,FRAN,G,38,3420,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,585,0,20,400,1,25,1,1,0,1459,0,55,4,235,0,21,0,552,236,0,366,0,0,0,0,0,1
Ben Foster,WBA,EPL,G,38,3420,2,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,2,0,0,0,450,0,8,345,1,13,1,2,0,1399,2,129,1,317,0,21,0,680,317,0,358,0,0,0,0,0,1
Gianluigi Donnarumma,MIL,SERI,G,38,3420,2,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,902,0,5,357,0,6,3,2,0,1665,1,27,2,95,0,4,0,318,95,0,186,0,0,0,0,0,0
