Player Name,Team,League,POS,GP,MIN,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,P,ACRO,AW,BR,DR,DW,EG,ES,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLROL,POSL,LPOPP,PK,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Nahuel Guzman,TIG,LMX,G,42,3780,7,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,940,0,18,376,3,27,3,2,0,1652,0,29,5,167,0,7,0,325,166,0,372,0,0,0,0,0,4
Agustin Marchesin,AME,LMX,G,42,3780,12,0,0,0,0,0,0,0,1,1,0,0,0,3,0,3,0,0,2,2,834,0,7,330,1,18,0,1,0,1622,0,82,3,207,0,31,0,451,208,0,349,0,0,0,0,0,1
Rodrigo Salinas,TOL,LMX,D,42,3773,10,0,0,3,2,0,1,1,38,13,62,131,27,31,1,26,3,11,70,52,1217,27,39,176,22,183,0,0,0,2606,76,418,171,827,23,167,1,639,228,0,86,0,0,8,1,1,45
Sebastian Sosa,MOR,LMX,G,40,3600,3,0,0,0,0,0,0,0,0,0,5,0,0,4,0,4,0,0,2,1,651,0,14,406,1,20,2,0,0,1486,0,49,4,183,0,9,0,371,189,0,327,0,0,0,0,0,1
Antonio Rios,TOL,LMX,M,40,3556,5,0,0,1,5,0,5,0,31,9,73,6,2,27,1,21,1,18,83,56,1246,2,50,179,9,176,1,0,0,1864,13,246,142,691,2,24,0,245,169,0,119,1,0,0,0,1,15
Paul Aguilar,AME,LMX,D,40,3514,7,0,1,0,3,0,3,0,23,5,59,53,18,27,5,24,0,4,99,68,1074,18,80,161,15,248,0,0,0,2317,48,311,165,672,13,112,0,509,178,0,118,1,0,4,0,0,34
Zack Steffen,CLB,MLS,G,39,3540,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,1,704,0,11,368,1,20,2,1,0,1487,0,58,5,141,0,12,0,388,142,0,239,0,0,0,0,0,1
Wil Trapp,CLB,MLS,M,39,3515,3,0,0,0,4,1,4,0,8,3,65,6,2,23,2,19,0,22,91,56,2246,2,29,253,15,179,1,1,0,2995,4,468,123,1097,6,51,0,366,285,0,178,2,0,0,0,0,21
Hugo Ayala,TIG,LMX,D,40,3503,4,1,1,1,1,0,1,0,15,4,92,2,1,5,0,4,0,28,100,71,1677,1,56,145,1,197,0,1,0,2509,20,90,133,470,11,16,0,326,272,0,185,2,0,0,0,1,1
Jesus Duenas,TIG,LMX,M/D,40,3414,15,0,0,1,5,1,5,0,35,14,32,52,21,66,4,51,10,12,68,49,1822,6,22,201,24,157,1,0,1,2549,36,503,174,1108,5,87,1,375,162,0,156,2,0,3,1,1,43
Juninho,TIG,LMX,D,39,3356,6,0,0,4,0,0,0,0,30,7,64,3,1,15,1,13,2,11,58,45,1957,1,49,158,7,121,0,1,1,2580,27,180,114,727,7,23,0,254,413,3,236,1,0,0,2,3,12
Oribe Peralta,AME,LMX,F,41,3351,11,0,0,9,4,0,4,0,80,29,10,11,3,47,5,41,2,5,44,26,607,3,60,80,21,186,0,0,0,1376,176,275,312,460,0,45,0,461,18,3,19,0,0,27,6,7,57
Andre-Pierre Gignac,TIG,LMX,F,40,3452,10,0,0,16,7,0,7,0,155,64,4,49,14,43,5,33,3,2,10,8,678,14,41,52,30,119,0,0,0,1436,179,321,211,501,0,95,0,426,21,4,59,1,0,45,13,8,80
Adolfo Machado,HOU,MLS,D,38,3450,6,0,0,0,2,0,1,1,11,1,94,4,1,10,1,2,6,26,78,54,885,1,59,153,4,149,0,0,0,1788,15,94,89,262,3,71,0,359,169,0,100,0,0,0,0,0,6
Jonathan Orozco,SAN,LMX,G,38,3420,2,0,0,0,0,0,0,0,0,0,4,0,0,3,1,2,1,0,0,0,753,0,17,306,0,22,3,1,0,1415,0,76,5,247,0,12,0,369,251,0,359,0,0,0,0,0,0
Zanka,HUD,EPL,D,38,3420,6,0,0,0,2,0,1,1,13,3,79,0,0,9,1,7,0,20,55,36,1198,0,88,166,3,154,1,4,0,2078,28,133,152,405,8,23,0,382,213,0,104,1,0,2,4,0,3
Gianluigi Donnarumma,MIL,SERI,G,38,3420,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,836,0,5,290,1,8,3,4,1,1405,2,14,0,74,0,1,0,256,75,0,247,0,0,0,0,0,1
Milan Skriniar,INT,SERI,D,38,3420,2,0,0,4,0,1,0,0,21,10,35,0,0,8,0,8,0,26,86,55,2170,0,69,280,19,198,0,0,1,2860,30,127,128,678,8,14,0,247,337,0,101,2,0,0,2,3,19
Jonas Lossl,HUD,EPL,G,38,3420,1,0,0,0,1,0,1,0,0,0,4,0,0,3,1,2,0,0,1,0,723,0,15,345,3,24,3,3,1,1592,0,98,8,295,0,40,0,568,297,0,419,0,0,0,0,0,3
Harry Maguire,LEI,EPL,D,38,3420,7,0,0,2,4,0,1,3,30,8,48,15,2,18,5,14,0,28,63,46,1363,2,119,269,51,263,0,1,0,2315,84,204,136,552,5,35,0,460,256,0,173,1,1,4,3,1,60
Jack Cork,BRN,EPL,M,38,3420,7,0,0,2,1,0,1,0,15,5,40,19,4,19,0,16,2,15,59,46,1276,2,58,242,31,195,1,0,0,2099,21,296,198,692,5,46,0,449,126,0,86,0,0,1,0,2,41
Asmir Begovic,BOU,EPL,G,38,3420,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,485,0,11,349,0,15,5,2,0,1367,0,32,6,146,0,8,0,470,149,0,244,0,0,0,0,0,0
Samir Handanovic,INT,SERI,G,38,3420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,0,10,301,0,11,0,1,1,1268,0,5,1,43,0,0,0,181,46,0,157,0,0,0,0,0,0
Karl-Johan Johnsson,GUI,FRAN,G,38,3420,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,595,0,14,324,1,16,2,2,0,1368,0,60,2,218,0,12,0,429,219,0,316,0,0,0,0,0,1
Stefano Sorrentino,CHI,SERI,G,38,3420,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,0,7,317,0,14,2,1,0,1412,0,19,1,127,0,3,0,419,128,0,290,0,0,0,0,0,0
Mathew Ryan,BHA,EPL,G,38,3420,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,505,0,13,335,0,13,2,1,0,1387,0,49,3,270,0,10,0,562,272,0,364,0,0,0,0,0,0
Baptiste Reynet,DIJ,FRAN,G,38,3420,3,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,6,4,977,0,15,413,3,27,0,1,0,1907,0,66,5,221,0,9,0,449,223,0,384,0,0,0,0,0,3
Benjamin Lecomte,MON,FRAN,G,38,3420,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,1,1,597,0,20,387,1,25,0,1,0,1354,0,33,2,164,0,4,0,346,168,0,310,0,0,0,0,0,1
Manuel Gibran Lajud,TIJ,LMX,G,38,3420,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,438,0,12,304,1,20,1,1,0,1201,0,43,4,143,0,8,0,397,147,0,201,0,0,0,0,0,1
Alex Cordaz,CRO,SERI,G,38,3420,2,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0,456,0,8,353,0,8,3,1,0,1390,0,76,0,265,0,20,0,632,264,0,341,0,0,0,0,0,0
Lukasz Fabianski,SWA,EPL,G,38,3420,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,593,0,15,365,0,17,0,2,0,1497,0,40,4,240,0,12,0,524,243,0,339,0,0,0,0,0,0
Jordan Pickford,EVE,EPL,G,38,3420,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,3,0,0,0,0,517,0,18,393,0,22,2,3,0,1556,1,147,4,278,0,35,0,658,279,0,336,0,0,0,0,0,0
Lewis Dunk,BHA,EPL,D,38,3420,7,0,0,1,1,0,0,1,27,9,70,7,2,11,1,10,0,58,66,33,1171,2,122,251,10,213,0,2,4,2097,43,100,142,292,7,31,2,374,161,0,164,1,1,0,3,1,13
Alfie Mawson,SWA,EPL,D,38,3420,3,0,0,2,1,0,1,0,20,6,34,2,1,5,1,4,0,32,32,22,1415,1,122,219,23,186,1,4,0,2211,40,110,117,364,7,20,1,366,213,0,190,1,0,1,3,1,26
Alban Lafont,TFC,FRAN,G,38,3420,4,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,1,0,651,0,6,355,1,13,3,2,0,1458,1,81,4,274,0,7,0,455,275,0,348,0,0,0,0,0,1
Thomas Strakosha,LAZ,SERI,G,38,3420,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,721,0,7,305,0,12,2,2,0,1377,1,23,2,123,0,7,0,298,123,0,294,0,0,0,0,0,1
Francesco Acerbi,SAS,SERI,D,38,3420,4,0,0,0,0,0,0,0,15,2,88,12,3,10,1,10,0,21,51,32,1367,3,104,261,17,203,0,1,1,2222,21,177,99,498,11,23,0,300,231,0,189,0,0,1,3,0,23
Nicolas Lodeiro,SOU,MLS,M,38,3415,6,0,1,7,10,4,5,5,73,21,41,269,76,110,14,61,38,1,55,37,1997,23,12,278,36,229,0,1,0,3481,111,841,277,1531,4,414,0,941,140,4,109,9,0,17,3,5,95
Gerard Moreno,ESP,LIGA,F,38,3413,4,0,0,16,1,0,1,0,105,48,19,39,3,44,7,42,0,6,41,28,838,3,138,146,63,314,0,0,0,1919,205,284,384,567,0,88,0,641,42,2,74,5,0,36,11,11,113
Cristian Roldan,SOU,MLS,M,38,3410,4,0,0,6,2,1,2,0,41,17,51,60,18,48,3,43,3,9,132,102,1809,15,40,259,47,292,0,1,0,2870,64,487,193,1090,9,108,0,527,238,0,153,3,0,0,6,3,69
Ahmed Hegazi,WBA,EPL,D,38,3387,4,0,0,2,0,0,0,0,14,4,58,10,3,7,0,7,0,37,58,38,868,3,104,183,22,192,1,1,0,1765,36,93,145,280,8,26,1,361,190,0,136,0,0,2,2,2,29
Hugo Gonzalez,MON,LMX,G,38,3350,2,0,0,0,1,1,1,0,0,0,5,0,0,4,2,3,0,0,2,1,511,0,22,320,1,26,1,0,0,1252,0,69,3,168,0,21,0,375,170,0,227,1,0,0,0,0,1
Ola Kamara,CLB,MLS,F,39,3333,0,0,0,19,4,0,4,0,98,41,13,9,2,33,4,28,0,2,17,13,465,2,63,75,18,143,0,0,0,1047,175,194,197,328,0,44,0,307,10,3,11,2,0,47,20,13,40
Renaud Cohade,MET,FRAN,M,38,3302,5,0,0,1,3,3,3,0,37,7,53,66,21,43,4,37,3,10,146,89,1516,17,87,265,30,289,0,0,0,2667,27,477,280,955,9,130,0,605,183,0,171,0,0,3,0,0,53
Jose Maria Callejon,NAP,SERI,F/M,38,3246,3,0,0,10,10,2,6,4,64,32,22,204,42,74,12,49,15,5,32,27,1214,13,24,158,11,112,0,0,0,2040,142,469,145,905,1,233,0,480,23,0,56,1,0,18,14,5,30
Stefan Medina,MON,LMX,D,39,3174,10,0,0,0,1,1,0,1,13,5,63,40,7,18,0,17,0,8,101,70,693,7,52,163,40,231,0,0,0,1848,30,205,204,414,26,59,0,458,121,1,49,0,0,2,2,0,74
Fernando Pacheco,ALA,LIGA,G,38,3357,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,480,0,6,297,1,8,3,1,0,1237,0,45,0,263,0,6,0,479,264,0,345,0,0,0,0,0,1
Nathan Ake,BOU,EPL,D,38,3353,5,0,0,2,3,0,2,1,18,8,49,5,1,9,2,6,0,24,54,33,1333,1,104,177,10,186,0,2,0,2104,47,118,143,375,17,20,1,285,204,0,86,0,2,2,3,1,11
Diego Valdes,MOR,LMX,F/M,39,3348,10,0,1,7,5,0,3,2,90,32,34,110,34,70,7,48,17,5,75,50,1496,6,35,220,76,276,0,1,0,2568,74,457,265,968,2,162,0,542,149,0,180,3,0,1,9,3,133
Mattia Perin,GEN,SERI,G,37,3330,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,663,0,9,356,0,11,1,1,0,1473,0,51,2,236,0,10,0,487,235,0,375,0,0,0,0,0,0
Ben Foster,WBA,EPL,G,37,3330,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,1,0,497,0,5,330,2,11,0,1,0,1325,0,125,8,316,0,25,0,593,319,0,367,0,0,0,0,0,2
David Lopez,ESP,LIGA,M/D,37,3330,6,0,0,1,0,0,0,0,14,6,67,3,0,7,1,7,0,26,67,49,1556,0,65,240,7,160,0,0,0,2376,27,144,135,504,4,29,2,401,284,0,158,0,1,2,2,1,12
Alisson,ROM,SERI,G,37,3330,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,2,1,855,0,8,374,6,18,0,4,0,1527,0,28,1,103,0,3,0,237,109,0,275,0,0,0,0,0,6
Marc-Andre ter Stegen,BAR,LIGA,G,37,3330,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,883,0,3,284,1,5,0,1,0,1459,0,8,2,45,0,3,0,236,47,0,229,0,0,0,0,0,1
Stefan Frei,SOU,MLS,G,37,3330,2,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,1,0,2,1,631,0,10,310,0,15,1,3,0,1350,0,30,3,122,0,11,0,363,122,0,262,0,0,0,0,0,0
Jan Oblak,ATM,LIGA,G,37,3330,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,401,0,5,284,3,10,0,0,0,1074,0,16,3,145,0,12,0,408,147,0,215,0,0,0,0,0,3
Cesar Azpilicueta,CHE,EPL,M/D,37,3330,1,0,0,2,6,1,6,0,13,3,54,81,16,31,11,25,0,22,80,59,2393,16,81,207,6,179,0,1,1,3340,27,445,113,1034,16,139,1,482,236,0,124,7,0,1,0,2,9
Ciprian Tatarusanu,NAN,FRAN,G,37,3330,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,514,0,14,327,0,16,1,2,0,1277,0,24,4,182,0,7,0,406,184,0,264,0,0,0,0,0,1
Luis Robles,NYR,MLS,G,37,3330,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,445,0,10,329,0,13,4,2,0,1088,0,19,4,92,0,6,0,291,95,0,169,0,0,0,0,0,0
Pepe Reina,NAP,SERI,G,37,3330,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,0,813,0,8,278,0,10,0,2,0,1300,0,3,2,39,0,2,0,202,40,0,228,0,0,0,0,0,0
Regis Gurtner,ASC,FRAN,G,37,3330,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,550,0,10,378,2,17,1,1,0,1488,0,59,2,273,0,6,0,610,273,0,344,0,0,0,0,0,2
Salvatore Sirigu,TOR,SERI,G,37,3330,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,729,0,15,330,2,20,0,3,0,1539,0,17,1,127,0,4,0,385,127,0,306,0,0,0,0,0,2
David de Gea,MUN,EPL,G,37,3330,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,542,0,2,292,1,6,0,3,0,1249,0,32,2,188,0,9,0,406,191,0,260,0,0,0,0,0,1
Abdoulaye Doucoure,WAT,EPL,M,37,3325,10,0,0,7,3,0,3,0,47,17,54,25,6,40,1,37,0,10,78,51,1878,6,43,347,41,187,0,0,0,2803,70,464,202,1000,6,79,1,511,172,0,84,2,0,2,1,2,53
Christophe Kerbrat,GUI,FRAN,D,37,3321,4,0,0,1,0,0,0,0,7,2,62,5,1,4,0,4,0,41,60,43,1359,1,42,182,5,130,0,2,0,2166,17,148,100,460,10,23,3,305,283,0,177,1,1,0,0,1,5
Andrea Consigli,SAS,SERI,G,37,3317,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,579,0,14,328,0,22,5,1,0,1334,0,33,4,167,0,7,0,354,170,0,320,0,0,0,0,0,0
Ivan Perisic,INT,SERI,M,37,3316,4,0,0,11,9,1,8,1,116,40,45,200,22,74,14,63,2,6,47,31,1047,21,67,138,32,165,0,0,1,2180,240,390,190,729,5,211,0,657,38,0,45,2,0,26,11,4,53
Gabriel Achilier,MOR,LMX,D,37,3312,10,1,1,0,0,0,0,0,17,3,93,3,1,8,1,8,0,13,63,49,984,1,86,172,9,183,1,0,0,1639,30,73,137,337,3,15,0,226,203,0,77,1,0,2,0,0,13
Shane Duffy,BHA,EPL,D,37,3294,8,0,0,0,1,0,0,1,28,5,50,3,2,8,2,7,0,59,31,19,1038,2,197,161,6,253,1,4,0,1957,66,64,137,174,5,26,4,342,115,0,133,0,0,7,2,0,7
Pablo Zabaleta,WHU,EPL,D,37,3291,9,0,0,0,1,0,1,0,6,1,60,71,13,17,0,15,1,13,94,65,847,13,57,182,7,191,0,0,1,2133,22,205,159,476,27,97,0,510,137,0,54,1,0,1,0,0,14
Julio Furch,SAN,LMX,F,38,3287,6,0,1,18,5,1,5,0,110,39,10,12,3,66,12,61,0,5,20,16,675,3,161,71,20,246,0,0,0,1442,205,307,261,491,1,57,0,463,19,1,13,4,0,14,13,6,32
Lukas Lerager,GIR,FRAN,M,37,3287,8,0,0,3,1,0,1,0,41,12,65,21,4,23,3,22,0,8,106,74,1216,4,103,225,8,267,1,0,0,2130,74,314,251,666,3,69,0,473,144,0,74,0,0,5,2,2,14
Damian Perez,TIJ,LMX,D,37,3274,12,0,0,1,1,0,1,0,18,4,76,29,6,33,1,29,3,4,97,59,928,5,37,164,19,205,1,0,0,2062,14,293,203,556,9,74,0,463,157,0,68,1,0,1,0,1,31
Franck Kessie,MIL,SERI,M,37,3268,9,0,0,5,3,0,2,1,74,23,27,66,15,44,4,41,0,11,47,33,1462,15,47,230,48,186,2,1,0,2382,141,485,249,937,6,97,0,508,98,4,60,1,0,4,3,4,75
