Player Name,Team,League,POS,GP,MIN,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,P,ACRO,AW,BR,DR,DW,EG,ES,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLROL,POSL,LPOPP,PK,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Granit Xhaka,ARS,EPL,M,38,3266,10,0,0,1,7,2,2,5,66,17,36,102,29,39,3,22,10,9,78,57,2708,1,49,261,18,184,3,1,0,3687,24,804,172,1707,4,194,0,555,293,0,189,2,0,0,0,0,24
Christopher Schindler,HUD,EPL,D,37,3266,6,1,1,0,1,0,0,1,10,0,74,4,0,9,3,8,0,30,83,61,1129,0,154,157,2,257,0,1,0,1974,34,80,140,285,10,13,0,279,150,0,92,0,2,1,1,0,2
Mario Osuna,MOR,LMX,M,39,3263,9,1,1,3,3,1,2,1,62,14,46,116,24,32,4,16,13,13,80,54,1364,4,48,210,24,179,0,0,0,2278,28,317,175,786,8,155,1,461,166,1,160,1,0,2,2,1,33
Nicolas Nkoulou,TOR,SERI,D,37,3259,4,0,0,2,0,0,0,0,15,4,57,1,1,6,1,6,0,22,56,39,1496,1,79,259,21,181,0,1,0,2127,23,72,119,365,7,12,0,216,189,0,101,0,0,0,0,1,24
Jamie Vardy,LEI,EPL,F,37,3255,3,0,0,20,1,0,1,0,71,35,2,39,9,32,5,31,0,1,15,9,280,9,76,73,24,141,0,0,0,842,169,138,205,221,0,43,0,333,9,6,13,0,0,44,6,14,57
Raul Ruidiaz,MOR,LMX,F,38,3251,2,0,1,20,3,0,3,0,112,49,6,5,1,27,6,24,0,0,12,9,566,1,13,76,36,108,0,0,0,1127,157,173,189,342,1,27,0,302,26,10,18,2,0,33,13,15,78
Bruno Valdez,AME,LMX,D,37,3242,7,1,2,3,1,0,0,1,25,7,87,1,0,5,1,4,0,30,48,37,1037,0,82,134,6,171,0,1,0,1681,34,66,152,299,4,11,1,209,182,0,91,0,0,3,1,1,11
Federico Ceccherini,CRO,SERI,D,37,3231,4,0,1,1,1,0,0,1,16,4,79,4,1,10,0,9,0,22,36,22,1015,1,76,183,17,162,1,0,0,1844,34,105,119,341,10,24,0,289,189,0,104,0,0,6,0,0,21
Christian Eriksen,TOT,EPL,M,37,3226,0,0,0,11,9,1,5,4,98,40,32,221,49,94,14,63,22,1,51,29,1860,9,19,227,29,119,0,0,0,3018,97,763,176,1426,4,352,0,768,118,0,134,7,0,1,2,4,53
Guido Rodriguez,AME,LMX,M/D,37,3209,7,2,3,1,0,0,0,0,30,10,77,4,2,21,0,21,0,20,138,102,1137,2,65,291,31,307,0,0,0,1935,14,170,172,577,3,15,0,306,174,0,97,0,0,3,2,0,39
Marco Sportiello,FIO,SERI,G,37,3202,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,591,0,12,311,0,15,1,3,0,1229,0,12,1,73,0,5,0,260,73,0,186,0,0,0,0,0,0
Lucas Tousart,OL,FRAN,M,37,3137,8,0,0,0,0,2,0,0,16,1,57,5,0,13,0,13,0,16,100,61,1321,0,77,200,19,214,0,0,0,1984,24,147,173,513,7,17,0,289,124,0,65,1,0,0,2,0,25
Simone Padoin,CAG,SERI,M/D,37,3114,4,0,0,1,1,0,1,0,15,2,24,106,26,34,5,30,3,14,22,18,813,25,10,150,12,71,0,0,0,1653,34,211,84,431,17,125,0,428,72,0,48,0,0,3,1,1,21
Dorlan Pabon,MON,LMX,F/M,41,3092,6,0,0,11,12,0,11,1,157,52,10,223,47,76,15,37,26,2,17,11,604,16,11,139,48,130,0,0,0,1620,124,317,156,528,1,335,0,598,28,5,59,7,0,10,10,5,79
Justin Meram,CLB,MLS,F/M,39,2986,6,0,0,14,6,2,6,0,70,30,18,99,25,53,11,41,5,7,48,35,850,15,23,151,88,205,0,0,0,1960,132,373,281,644,7,150,0,663,47,0,40,7,0,15,10,5,188
Aviles Hurtado,MON,LMX,F/M,37,2904,6,1,1,18,7,1,7,0,70,35,18,33,4,52,14,44,1,1,48,31,663,4,24,140,90,222,0,0,0,1575,190,336,256,517,4,98,0,535,39,5,29,5,0,28,11,7,161
Luis Hernandez,MAL,LIGA,D,36,3240,8,0,0,0,1,0,0,1,4,0,77,8,2,6,1,5,0,21,49,43,1130,2,48,190,3,110,1,0,0,1851,10,117,100,394,4,56,0,316,253,0,141,1,0,3,0,0,3
Benoit Costil,GIR,FRAN,G,36,3240,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,2,0,0,0,0,611,0,5,311,3,10,2,2,0,1318,0,44,4,164,0,19,0,411,164,0,286,0,0,0,0,0,3
Dale Stephens,BHA,EPL,M,36,3240,6,0,0,0,3,0,2,1,18,2,64,0,0,17,2,14,0,16,103,62,1472,0,28,292,18,166,0,1,0,2187,20,286,184,674,2,34,1,345,208,0,148,1,0,0,0,0,23
Alfredo Saldivar,UNM,LMX,G,36,3240,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,1,0,1,0,536,0,10,293,1,16,2,0,0,1227,0,47,4,195,0,10,0,377,197,0,267,0,0,0,0,0,1
Frederic Guilbert,SMC,FRAN,M/D,36,3240,12,0,0,1,2,1,2,0,13,3,91,127,25,16,4,12,2,13,139,90,796,25,98,220,24,294,0,0,0,2218,13,182,233,422,20,141,0,592,128,0,69,0,0,1,1,1,42
Kamil Glik,ASM,FRAN,D,36,3240,8,0,0,3,3,0,1,2,24,8,62,0,0,8,3,5,0,18,35,22,1359,0,95,140,3,157,0,2,0,2188,39,86,113,378,4,29,0,340,251,0,151,0,0,2,3,2,4
Marko Dmitrovic,EIB,LIGA,G,36,3240,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,4,4,488,0,15,337,5,27,2,0,0,1336,0,159,10,308,0,35,0,587,311,0,358,0,1,0,0,0,6
Rolando Mandragora,CRO,SERI,M,36,3240,8,0,0,2,0,1,0,0,34,9,86,40,14,24,3,18,6,13,91,60,1068,5,69,212,10,222,0,0,0,1856,18,203,182,559,9,70,0,344,129,0,69,2,0,2,0,1,15
Hugo Lloris,TOT,EPL,G,36,3240,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,750,0,9,296,1,12,5,3,0,1359,0,18,6,75,0,7,0,250,77,0,218,0,1,0,0,0,1
Nicolas,VER,SERI,G,36,3239,2,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,2,1,634,0,10,420,0,19,2,5,0,1731,0,32,6,234,0,8,0,578,236,0,377,0,0,0,0,0,0
Djene Dakonam,GET,LIGA,D,36,3239,8,0,0,1,0,0,0,0,11,2,78,10,2,3,0,3,0,14,87,65,683,2,71,245,30,213,0,1,0,1509,28,71,138,234,4,23,0,343,118,0,86,0,1,1,0,0,33
Felipe Martins,NYR,MLS,M,36,3231,6,0,0,2,3,2,3,0,41,12,61,49,13,34,4,24,7,5,87,59,1698,8,15,272,9,201,0,0,0,2632,23,527,182,1035,3,139,0,510,225,0,93,5,0,2,0,0,19
Rodri,VIL,LIGA,M,37,3228,8,0,0,1,3,0,3,0,32,10,52,5,0,23,3,19,1,21,104,71,2225,0,100,320,26,263,1,0,0,2973,34,305,192,921,4,16,0,308,232,0,162,1,0,2,1,0,29
Jordan Veretout,FIO,SERI,M,36,3212,10,0,1,8,1,1,1,0,62,19,38,121,39,52,4,34,17,4,65,45,1711,6,35,242,34,162,0,0,0,2628,26,490,176,1096,9,165,0,507,251,3,125,1,0,0,1,5,46
Jimmy Briand,GUI,FRAN,F,37,3211,4,0,0,11,2,0,2,0,73,25,14,20,2,27,2,24,1,2,37,23,730,1,70,138,23,216,0,0,0,1562,124,250,258,514,3,58,0,471,30,4,11,4,0,36,7,8,42
Jan Vertonghen,TOT,EPL,D,36,3205,4,0,0,0,0,0,0,0,24,4,60,15,2,12,2,10,2,11,64,41,2147,2,118,247,30,235,0,0,0,3016,28,287,111,942,7,42,0,395,349,0,164,1,0,1,1,0,38
Jonny,CEL,LIGA,M/D,36,3203,10,0,0,2,1,0,1,0,15,4,93,51,11,22,2,21,0,8,102,78,1459,11,37,213,45,219,1,0,0,2714,46,301,196,695,21,93,0,496,143,0,91,5,1,1,1,2,74
Ederson,MCI,EPL,G,36,3195,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,792,0,12,286,1,20,2,4,0,1236,0,18,1,44,0,13,0,147,46,0,147,0,0,0,0,0,1
Lucas Torreira,SAM,SERI,M,36,3184,6,0,0,4,1,2,0,1,33,10,73,122,30,36,2,17,18,17,104,75,1902,2,22,298,35,241,0,1,0,2854,12,356,162,1088,5,183,0,464,206,0,91,1,0,1,1,0,44
Romulo,VER,SERI,M/D,37,3172,7,0,0,3,5,0,3,2,29,8,43,193,40,50,4,35,10,2,58,44,1024,27,8,219,58,154,0,0,0,2069,41,255,168,565,7,208,0,576,90,2,49,2,0,4,4,2,86
Ronny Rodelin,SMC,FRAN,F,37,3167,1,0,0,5,5,0,4,1,108,30,28,76,11,57,12,52,0,2,34,22,928,11,140,172,56,260,1,0,0,1883,106,373,224,666,1,126,0,575,74,1,84,4,0,13,9,1,73
Osvaldo Gonzalez,TOL,LMX,D,36,3159,7,0,2,2,0,0,0,0,18,4,77,3,1,10,2,9,1,28,61,37,946,1,59,179,12,151,1,1,0,1562,32,93,123,315,0,22,0,212,155,0,75,1,0,0,1,1,13
Martin Olsson,SWA,EPL,D,36,3154,7,0,0,0,1,0,1,0,18,1,31,163,23,14,0,13,0,4,34,26,842,23,47,156,11,116,0,0,0,1948,29,191,115,446,14,154,0,592,81,0,46,0,0,2,1,0,27
