Player Name,Team,League,POS,GP,MIN,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,P,ACRO,AW,BR,DR,DW,EG,ES,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLROL,POSL,LPOPP,PK,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Carlos Acevedo,SAN,LMX,G,42,3780,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,1,1,435,0,12,273,0,14,2,0,1,1073,0,44,3,170,0,12,0,336,169,0,245,0,0,0,0,0,0
Jose de Jesus Corona,CA,LMX,G,41,3690,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,668,0,8,294,0,12,0,0,0,1330,0,65,6,218,0,15,0,369,220,0,299,0,0,0,0,0,1
Matheus Doria,SAN,LMX,D,41,3690,3,0,0,3,0,0,0,0,57,9,61,3,1,9,0,9,0,41,33,25,1052,1,88,236,6,142,0,0,0,1901,37,177,118,448,16,32,1,388,261,0,152,0,0,1,1,1,8
Gustavo Cabral,PAC,LMX,D,41,3640,7,0,1,2,0,0,0,0,20,9,71,3,0,11,1,11,0,25,54,36,1578,0,130,195,7,215,0,2,0,2280,29,154,159,609,5,22,1,290,312,1,138,0,0,2,3,2,10
Julio Cesar Dominguez,CA,LMX,D,40,3600,1,0,0,1,0,0,0,0,18,4,50,3,1,8,0,8,0,20,36,24,1481,1,49,177,10,116,0,0,1,2114,31,139,134,509,4,13,1,249,268,0,132,0,0,0,2,0,11
Oscar Ustari,PAC,LMX,G,40,3595,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,816,0,7,365,0,10,0,0,0,1527,0,62,3,205,0,16,0,376,210,0,338,0,0,0,0,0,0
Juan Marcelo Escobar,CA,LMX,D,41,3465,8,0,0,5,1,0,1,0,43,18,38,90,25,29,0,27,1,13,54,34,981,25,84,129,18,190,0,0,0,2057,78,237,213,505,13,121,0,465,119,0,77,0,0,5,1,1,47
Jonathan Rodriguez,CA,LMX,F/M,41,3465,3,1,1,24,7,1,6,1,130,60,7,100,34,57,6,33,17,3,16,10,540,6,53,74,40,143,0,1,0,1347,209,277,185,448,3,146,0,458,19,11,30,0,0,21,13,18,79
Paul Bernardoni,SCO,FRAN,G,38,3420,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,432,0,10,299,0,18,1,0,0,1150,0,24,4,105,0,6,0,347,109,0,166,0,0,0,0,0,0
Anthony Lopes,OL,FRAN,G,38,3420,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,793,0,7,293,1,11,1,0,2,1332,0,15,3,87,0,2,0,206,83,0,202,0,1,0,0,0,1
Bruno Ecuele Manga,DIJ,FRAN,D,38,3420,3,0,0,2,0,0,0,0,31,8,57,2,0,1,0,1,0,33,52,38,1660,0,127,257,11,214,2,1,0,2428,40,75,101,337,3,12,1,331,242,0,159,0,0,1,0,1,13
Alban Lafont,NAN,FRAN,G,38,3420,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,531,0,16,301,0,21,0,0,0,1314,0,50,2,158,0,14,0,472,159,0,220,0,0,0,0,0,0
Hugo Lloris,TOT,EPL,G,38,3420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622,0,6,304,0,10,1,0,0,1248,0,16,2,97,0,1,0,280,97,0,183,0,0,0,0,0,0
Alejandro Remiro,RSO,LIGA,G,38,3420,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,743,0,9,277,1,14,0,0,0,1335,0,40,1,127,0,12,0,347,127,0,264,0,0,0,0,0,1
Pierre-Emile Hojbjerg,TOT,EPL,M,38,3420,9,0,0,2,4,0,4,0,14,7,48,6,1,16,4,10,2,9,98,51,2448,1,44,296,23,217,0,0,0,3259,22,397,209,1187,2,47,0,395,314,0,108,1,0,0,1,1,32
Mike Maignan,LIL,FRAN,G,38,3420,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,586,0,12,305,1,19,1,1,0,1227,0,30,2,96,0,12,0,293,98,0,164,0,0,0,0,0,1
Nicolas Freire,UNM,LMX,D,38,3420,7,0,0,1,1,0,0,1,18,5,56,2,0,13,4,11,1,22,25,16,1030,0,98,125,0,138,1,0,1,1755,38,110,105,356,4,25,1,344,240,0,172,0,0,0,0,0,1
Jan Oblak,ATM,LIGA,G,38,3420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,0,8,268,1,12,0,2,1,1158,0,22,1,132,0,10,0,363,134,0,241,0,0,0,0,0,1
Emiliano Martinez,AVL,EPL,G,38,3420,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,3,3,709,0,11,356,0,22,1,1,0,1541,0,53,3,175,0,5,0,440,177,0,265,0,0,0,0,0,0
