Player Name,Team,League,POS,GP,MIN,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,P,ACRO,AW,BR,DR,DW,EG,ES,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLROL,POSL,LPOPP,PK,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Benoit Costil,GIR,FRAN,G,38,3420,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,795,0,8,299,3,13,0,0,0,1492,0,46,2,177,0,6,0,391,176,0,335,0,1,0,0,0,3
Thibaut Courtois,RMA,LIGA,G,38,3420,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,843,0,11,319,0,13,1,1,0,1473,0,22,2,49,0,11,0,238,51,0,131,0,0,0,0,0,0
Aaron Ramsdale,SHU,EPL,G,38,3420,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,1,1,442,0,9,350,2,16,2,4,0,1386,2,102,4,237,0,20,0,586,239,0,281,0,0,0,0,0,2
Baptiste Reynet,NIM,FRAN,G,38,3420,3,0,0,0,0,0,0,0,2,1,1,0,0,3,1,3,0,0,2,1,931,0,11,348,1,20,0,2,0,1782,2,46,3,177,0,10,0,513,179,0,294,0,1,0,0,0,1
James Ward-Prowse,SOU,EPL,M,38,3420,5,0,0,8,7,1,0,7,43,24,42,251,55,60,3,19,34,4,75,49,2102,3,47,288,17,166,0,0,0,3146,23,372,165,1046,8,298,0,592,190,4,78,0,0,0,1,3,22
Kasper Schmeichel,LEI,EPL,G,38,3420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751,0,12,256,1,15,0,0,1,1385,0,25,1,76,0,7,0,325,77,0,241,0,0,0,0,0,2
Walter Benitez,NIC,FRAN,G,38,3420,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,817,0,13,279,0,18,2,0,0,1406,0,11,2,49,0,4,0,230,49,0,145,0,0,0,0,0,0
Tomas Soucek,WHU,EPL,M,38,3419,7,0,1,10,1,0,1,0,64,23,62,9,1,18,2,17,0,18,78,41,1213,1,234,246,16,364,0,0,1,2185,110,298,308,618,5,27,0,483,116,0,84,0,0,2,1,7,29
Dylan Bronn,MET,FRAN,D,38,3413,4,0,0,2,0,0,0,0,16,6,44,4,1,7,0,7,0,14,57,37,1491,1,44,232,15,128,0,0,0,2167,19,151,111,437,4,34,0,332,215,2,130,1,0,0,1,2,19
Ashley Westwood,BRN,EPL,M,38,3411,7,0,0,3,3,0,1,2,20,7,44,182,45,53,9,33,17,9,23,15,1608,16,14,244,13,92,0,0,0,2547,20,462,106,943,3,352,0,632,150,0,161,0,0,0,0,1,19
Stuart Dallas,LEE,EPL,M/D,38,3410,7,0,0,8,2,0,2,0,48,19,44,82,12,26,3,22,2,3,74,45,1642,9,33,256,22,179,0,1,0,2730,61,426,180,832,6,141,1,505,149,0,75,0,0,0,2,3,33
Matt Targett,AVL,EPL,D,38,3405,7,0,0,0,2,1,1,1,6,2,55,146,27,38,3,28,8,14,83,39,1314,16,71,177,15,191,0,1,0,2614,37,423,125,787,15,205,0,583,199,0,117,1,0,0,0,0,25
Luke Ayling,LEE,EPL,M/D,38,3400,7,0,0,0,0,1,0,0,24,6,36,82,14,27,5,26,1,36,108,61,1881,14,66,279,41,268,0,5,0,3352,70,335,171,787,19,124,1,705,278,0,175,4,0,2,1,0,59
Andrew Robertson,LIV,EPL,D,38,3385,2,0,0,1,7,0,4,3,19,5,21,294,60,66,11,41,18,9,46,34,2263,36,30,229,28,113,1,0,0,3683,98,677,114,1412,11,311,1,767,176,0,79,1,0,8,1,1,53
Johan Vasquez,UNM,LMX,D,39,3362,12,0,0,1,2,0,1,1,20,3,103,6,3,11,1,8,1,18,66,46,1053,3,97,176,5,208,0,1,0,1856,28,89,169,362,11,20,0,302,230,0,109,0,0,0,1,1,8
Luis Romo,CA,LMX,M/D,39,3335,3,0,0,6,12,1,10,2,85,27,29,72,17,52,11,40,0,13,83,55,1058,17,143,187,31,300,0,0,0,2165,150,395,320,718,5,92,0,609,129,0,122,3,0,4,3,4,63
Alan Cervantes,SAN,LMX,M,41,3330,4,0,0,0,1,1,1,0,25,4,46,49,12,35,0,29,5,16,73,46,1420,2,80,287,37,256,0,1,0,2258,15,323,276,803,6,62,0,352,110,0,124,0,0,2,0,0,59
Daniel Congre,MON,FRAN,D,38,3294,4,0,0,2,0,0,0,0,13,3,69,2,0,4,0,4,0,32,59,35,1307,0,73,150,4,159,1,2,0,1944,22,107,107,413,4,7,0,228,237,0,128,0,0,0,0,1,6
Gaetan Laborde,MON,FRAN,F,38,3270,3,0,0,16,8,0,8,0,99,41,16,55,11,37,9,29,0,3,43,22,560,11,136,118,33,240,0,1,0,1434,208,202,295,367,4,69,0,502,21,0,12,1,0,6,9,7,70
Omar Fernandez,PUE,LMX,F/M,40,3093,3,0,0,2,10,0,8,2,36,10,31,107,30,68,9,44,14,3,46,35,1103,12,11,172,47,157,0,0,0,1879,67,414,156,738,4,182,0,422,55,0,54,1,0,7,3,0,86
Jesus Sanchez Garcia,GUA,LMX,D,40,3057,7,0,0,1,0,0,0,0,5,1,49,53,12,19,1,16,3,12,112,73,1142,11,27,173,5,182,0,0,0,2123,14,286,174,647,7,92,0,393,194,0,95,0,1,0,0,0,10
Youri Tielemans,LEI,EPL,M,38,3358,6,0,0,6,4,3,4,0,49,20,46,138,21,49,3,33,12,8,86,45,2028,10,35,271,43,217,0,1,0,3151,43,539,184,1194,4,225,0,680,181,2,115,6,0,0,1,3,64
Fernando Pacheco,ALA,LIGA,G,38,3348,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,637,0,8,268,0,12,0,0,0,1232,0,54,3,250,0,6,0,335,250,0,328,0,0,0,0,0,0
John McGinn,AVL,EPL,M,37,3330,12,0,0,3,5,0,5,0,45,11,43,52,11,42,6,34,3,6,61,37,1086,7,22,234,52,211,0,2,0,1970,54,422,205,714,0,117,0,472,132,0,122,2,0,1,2,1,77
Lorenzo Montipo,BEN,SERI,G,37,3330,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,0,11,285,0,16,2,1,1,1429,0,29,3,143,0,3,0,440,142,0,270,0,0,0,0,0,0
Steve Mandanda,OM,FRAN,G,37,3330,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,740,0,8,333,1,11,4,2,0,1466,0,16,1,101,0,3,0,392,102,0,184,0,0,0,0,0,1
Emil Audero,SAM,SERI,G,37,3330,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,699,0,7,306,0,13,0,0,0,1421,1,17,1,139,0,2,0,370,140,0,268,0,1,0,0,0,0
Unai Simon,ATH,LIGA,G,37,3330,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,545,0,7,293,1,11,6,1,0,1188,0,43,3,160,0,7,0,321,162,0,241,0,1,0,0,0,1
Sam Johnstone,WBA,EPL,G,37,3330,1,0,0,0,1,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,479,0,7,363,0,9,0,2,0,1531,0,63,2,207,0,13,0,642,211,0,311,0,0,0,0,0,0
Andrea Consigli,SAS,SERI,G,37,3330,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,931,0,17,301,0,23,0,4,0,1563,0,25,3,60,0,2,0,257,61,0,161,0,0,0,0,0,0
Gianluigi Donnarumma,MIL,SERI,G,37,3330,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,832,0,8,278,1,11,1,1,0,1404,0,15,2,97,0,1,0,253,98,0,205,0,0,0,0,0,1
Vicente Guaita,CRY,EPL,G,37,3330,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,457,0,11,296,0,15,1,0,0,1250,0,27,1,200,0,2,0,471,200,0,253,0,0,0,0,0,0
Ollie Watkins,AVL,EPL,F,37,3329,2,1,1,14,5,0,4,1,97,45,7,22,5,45,8,40,0,2,29,17,575,5,136,77,40,254,0,0,0,1411,241,317,335,486,1,40,0,486,8,2,6,0,0,31,13,11,70
Rui Patricio,WOL,EPL,G,37,3329,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,414,0,8,258,0,9,2,1,0,951,0,5,2,79,0,2,0,252,80,0,174,0,0,0,0,0,0
Thomas Foket,SR,FRAN,M/D,37,3325,4,0,0,0,3,0,3,0,6,3,69,59,14,24,0,20,1,7,77,43,1197,14,28,181,18,157,1,1,1,2363,26,233,130,483,18,72,0,482,90,0,92,0,0,4,0,0,30
Jean-Louis Leca,RCL,FRAN,G,37,3315,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,3,2,554,0,9,257,0,21,4,0,0,1184,0,43,3,140,0,5,0,330,141,0,203,0,0,0,0,0,0
Sven Botman,LIL,FRAN,D,37,3311,3,0,0,0,0,0,0,0,16,5,57,1,0,5,0,5,0,21,31,21,2246,0,120,197,7,180,0,2,0,2962,34,193,86,772,7,23,0,379,398,0,141,1,0,2,0,0,9
Conor Coady,WOL,EPL,D,37,3304,5,0,0,1,0,0,0,0,7,2,27,0,0,3,0,3,0,32,35,23,1634,0,41,155,6,91,1,1,0,2170,12,86,69,375,4,14,2,241,281,0,248,0,2,0,3,0,8
Jaine Barreiro,LEO,LMX,D,39,3303,6,1,1,1,0,0,0,0,14,5,47,2,1,5,0,5,0,14,41,27,1767,1,78,160,9,161,0,0,0,2463,29,182,113,652,6,14,1,351,384,0,224,0,0,4,5,1,13
Mahdi Camara,ASS,FRAN,M/D,37,3295,4,0,0,3,2,0,1,1,23,9,78,34,12,24,2,22,0,12,99,67,1371,12,48,191,31,216,0,0,0,2217,36,221,146,587,1,57,1,337,146,0,71,0,1,0,5,3,55
Javier Alvan Salas,PUE,LMX,M,37,3285,9,0,0,0,2,0,2,0,26,5,35,11,4,20,1,15,3,11,50,36,1372,3,25,205,8,110,0,0,0,1894,24,213,145,609,1,41,0,274,151,0,134,0,0,2,2,0,18
Predrag Rajkovic,SR,FRAN,G,37,3285,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,2,1,807,0,13,320,2,23,2,1,0,1642,0,47,4,134,0,24,0,487,134,0,243,0,0,0,0,0,2
Fernando Gorriaran,SAN,LMX,M,38,3278,7,0,0,7,7,0,2,5,56,15,64,107,30,56,5,35,14,10,64,39,1488,12,41,281,51,240,0,0,0,2594,53,425,207,937,8,176,0,543,172,3,133,0,0,4,3,5,82
Joao Pedro,CAG,SERI,F,37,3262,4,0,0,16,3,0,3,0,76,35,13,25,4,38,10,35,0,6,13,6,679,4,67,97,39,215,0,0,0,1489,156,258,229,461,1,66,0,418,41,5,46,1,0,11,6,12,80
Roberto Soriano,BOL,SERI,M,37,3255,5,0,0,9,6,2,6,0,61,19,18,34,8,52,15,46,0,8,48,26,1207,8,34,184,36,167,0,0,0,1993,99,443,227,828,1,83,0,402,105,0,42,5,0,3,5,6,56
Marc Cucurella,GET,LIGA,M/D,37,3248,8,0,0,3,2,0,2,0,26,8,40,138,26,39,4,33,4,4,64,51,804,23,71,202,24,217,0,0,0,1878,97,398,275,662,7,148,0,594,44,0,31,0,0,9,1,2,59
Samir Handanovic,INT,SERI,G,37,3240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,780,0,7,215,0,12,3,0,1,1193,0,10,0,54,0,1,0,146,57,0,141,0,1,0,0,0,0
Tommaso Augello,SAM,SERI,M/D,37,3220,2,0,1,1,3,0,3,0,8,2,32,148,27,29,7,25,1,2,42,30,1268,26,44,214,31,139,1,0,0,2435,33,334,97,670,12,159,0,588,133,0,50,0,0,2,0,0,54
Patrick Bamford,LEE,EPL,F,38,3062,3,0,0,17,7,0,7,0,107,48,10,3,1,30,5,23,0,4,21,9,393,1,47,59,19,110,0,0,0,920,174,132,169,231,0,21,0,249,13,2,4,2,0,18,21,10,40
Luis Chavez,PAC,LMX,M,40,3060,5,0,1,3,2,0,0,2,63,16,38,137,39,56,2,32,22,8,57,35,1111,9,30,172,25,149,0,0,0,1905,17,322,115,753,1,154,0,411,114,1,87,0,0,2,0,1,36
Jesus Molina,GUA,LMX,M,37,2812,8,0,0,5,1,0,1,0,33,12,50,4,2,18,3,17,0,26,65,40,950,2,93,119,4,188,0,0,0,1542,42,152,163,431,1,33,1,238,106,1,62,0,0,2,2,1,6
Luigi Sepe,PAR,SERI,G,36,3240,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,966,0,4,307,2,8,2,0,0,1607,0,54,4,218,0,10,0,298,217,0,366,0,0,0,0,0,2
Camilo Vargas,ATS,LMX,G,36,3240,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,590,0,12,269,1,16,0,0,0,1208,2,87,4,190,0,37,0,404,189,0,242,0,0,0,0,0,3
Ederson,MCI,EPL,G,36,3240,3,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,3,1,779,0,7,229,0,13,1,3,0,1237,0,18,3,55,0,13,0,185,57,0,158,0,2,0,0,0,0
James Tarkowski,BRN,EPL,D,36,3240,6,0,0,1,0,0,0,0,22,6,44,6,2,12,1,11,1,42,66,39,882,2,165,160,12,272,1,0,0,1734,66,118,128,318,4,55,4,414,191,0,130,0,1,3,4,1,14
Sergio Asenjo,VIL,LIGA,G,36,3240,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836,0,7,272,0,9,1,1,0,1448,0,25,2,103,0,8,0,287,104,0,201,0,0,0,0,0,0
Giovanni Di Lorenzo,NAP,SERI,D,36,3240,11,0,0,3,6,0,6,0,28,12,35,72,16,49,9,42,0,13,79,50,1903,16,56,177,30,224,0,1,0,3062,86,517,161,994,13,119,0,433,184,0,81,2,0,3,4,2,54
Alphonse Areola,FUL,EPL,G,36,3240,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,576,0,14,266,0,19,2,1,0,1209,0,28,5,98,0,3,0,269,100,0,157,0,0,0,0,0,0
Alex Cordaz,CRO,SERI,G,36,3240,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,883,0,5,319,1,12,1,1,0,1615,0,24,0,121,0,4,0,397,121,0,274,0,0,0,0,0,1
Hugo Nervo,ATS,LMX,D,36,3239,2,0,1,0,1,0,0,1,5,0,56,2,1,5,1,4,0,18,14,7,1044,1,85,113,1,120,1,1,1,1549,25,71,135,258,4,13,0,224,181,0,123,1,0,1,0,0,1
Franck Kessie,MIL,SERI,M,37,3230,8,0,0,13,4,0,3,1,49,21,46,13,2,31,5,27,0,15,53,30,1773,2,56,269,43,192,0,0,0,2557,93,394,173,904,3,52,0,348,153,13,102,0,0,1,7,11,54
Isaac Brizuela,GUA,LMX,M,38,3223,3,0,0,3,3,0,3,0,43,15,34,77,21,50,7,47,0,4,50,33,1128,21,24,179,87,208,0,0,0,2019,82,413,160,801,3,94,0,449,92,0,36,1,1,3,3,3,129
Fabien Centonze,MET,FRAN,M/D,36,3222,9,0,0,1,0,0,0,0,24,6,112,114,21,22,4,20,2,17,104,68,1084,21,56,198,59,276,1,0,0,2586,35,207,195,541,8,120,0,596,132,0,36,2,0,3,0,1,119
Junior Messias,CRO,SERI,F/M,36,3217,6,0,0,9,4,0,0,4,98,31,35,123,24,32,6,22,6,12,60,35,838,11,35,166,105,292,0,0,0,2018,107,315,260,562,1,174,0,586,49,0,52,0,0,5,7,4,163
Kamil Glik,BEN,SERI,D,36,3207,8,1,1,2,1,0,1,0,29,11,62,1,0,4,0,3,0,31,44,24,1146,0,87,137,2,154,0,0,1,1704,47,46,120,227,1,4,0,173,144,0,116,0,0,0,2,1,4
Rodrigo De Paul,UDI,SERI,M,36,3203,3,1,2,9,9,0,7,2,82,22,17,262,72,82,20,41,32,1,42,24,1467,29,6,208,122,294,0,1,0,2876,64,595,196,1030,8,390,0,804,121,3,162,6,0,1,1,4,182
Tyrone Mings,AVL,EPL,D,36,3195,4,1,1,2,2,0,1,1,19,7,41,5,1,7,0,5,0,40,32,16,1308,1,91,209,6,146,1,2,1,2115,38,133,70,429,2,26,1,408,261,0,132,0,1,3,2,2,8
Ben White,BHA,EPL,D,36,3194,3,1,1,0,0,0,0,0,10,1,62,22,1,8,1,8,0,22,49,26,1453,1,49,186,24,131,0,0,0,2179,22,236,130,541,6,70,0,370,150,0,84,1,1,1,0,0,32
Jose Fonte,LIL,FRAN,D,36,3187,7,0,0,3,0,0,0,0,27,10,36,12,3,10,0,10,0,23,40,29,2135,3,81,200,6,139,0,1,1,2730,53,196,62,712,1,24,0,251,298,0,149,0,1,0,1,1,6
Guido Pizarro,TIG,LMX,M/D,36,3177,5,1,1,1,1,0,0,1,23,3,43,7,2,15,3,14,0,6,67,41,1756,1,45,209,14,170,1,1,0,2374,50,342,162,902,3,23,0,271,186,0,97,1,0,0,1,0,27
Aaron Cresswell,WHU,EPL,D,36,3172,3,0,0,0,8,2,2,6,19,4,32,207,59,58,12,24,26,14,32,13,1303,20,35,195,4,89,0,2,0,2423,14,354,71,717,6,220,0,588,187,0,119,1,0,0,0,0,10
William Tesillo,LEO,LMX,D,36,3168,13,0,1,0,2,0,2,0,17,5,52,33,8,16,6,12,1,17,60,36,1851,8,73,203,25,199,0,0,0,2795,38,182,176,634,8,45,0,476,364,0,232,1,0,0,0,0,41
Bartlomiej Dragowski,FIO,SERI,G,36,3149,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,540,0,7,296,0,12,0,1,0,1225,0,44,2,139,0,9,0,356,141,0,229,0,0,0,0,0,0
Son Heung-Min,TOT,EPL,F/M,37,3121,0,0,0,17,10,0,8,2,68,36,14,148,36,75,14,42,23,3,32,18,882,4,20,145,39,145,0,0,0,1657,134,352,212,651,5,175,0,440,20,1,28,0,0,16,10,13,72
Dani Parejo,VIL,LIGA,M,36,3119,5,0,0,3,4,1,2,2,27,9,45,112,42,43,7,19,20,8,65,40,2407,7,24,226,37,186,0,3,0,3187,31,696,136,1472,3,182,0,399,277,0,177,1,0,0,0,0,49
Jan Bednarek,SOU,EPL,D,36,3101,5,0,1,1,1,0,0,1,10,6,83,0,0,5,1,4,0,27,37,19,1706,0,97,205,5,150,0,0,1,2515,17,98,113,415,0,16,1,398,202,0,82,0,0,0,0,0,6
Kike,EIB,LIGA,F,37,3101,2,1,1,12,2,0,2,0,87,34,7,47,6,26,2,24,0,1,24,18,566,6,187,128,36,337,0,0,0,1519,148,281,355,435,1,58,0,538,10,0,20,0,0,15,8,8,54
Maximiliano Perg,PUE,LMX,D,36,3087,7,1,1,1,0,0,0,0,12,3,58,2,0,0,0,0,0,24,58,41,708,0,89,92,0,173,0,0,1,1372,21,48,151,155,4,19,0,284,111,0,118,0,0,1,0,0,3
Oscar Murillo,PAC,LMX,D,37,3086,3,1,1,4,0,0,0,0,34,12,75,2,2,6,0,6,0,18,52,31,1205,2,139,164,5,217,0,0,0,1884,39,108,137,452,3,13,0,273,280,0,122,0,1,0,2,0,7
Aurelien Tchouameni,ASM,FRAN,M,36,3071,7,1,1,2,3,1,2,1,53,11,60,29,2,17,5,14,0,11,127,68,1512,2,85,257,22,292,0,0,0,2457,56,316,183,755,4,70,0,439,149,0,92,1,0,1,5,1,35
Erick Aguirre,PAC,LMX,M/D,36,3034,6,0,0,3,5,0,5,0,31,11,65,96,19,42,4,32,5,1,66,50,1055,15,35,202,34,148,0,0,0,2030,64,290,161,614,7,126,0,456,124,0,103,1,0,5,1,2,57
Ezri Konsa,AVL,EPL,D,36,3195,3,0,0,2,0,0,0,0,22,7,29,3,0,2,0,2,0,47,25,13,1090,0,96,156,6,178,1,0,0,1729,34,54,83,224,4,11,0,229,116,0,76,0,0,1,6,1,6
Rubens Sambueza,TOL,LMX,M,37,3176,12,0,0,4,12,0,5,7,30,13,22,239,73,94,11,48,34,5,61,39,1165,23,7,179,64,270,0,0,0,2383,50,530,252,912,4,328,0,681,67,1,79,3,0,9,0,2,116
Frenkie de Jong,BAR,LIGA,M,37,3159,5,0,0,3,4,0,4,0,17,6,38,7,1,49,9,44,1,4,44,27,2560,0,40,215,58,185,0,2,0,3192,93,735,107,1580,3,64,0,319,224,0,77,1,0,4,6,3,67
Erick Sanchez,PAC,LMX,M,41,3153,3,0,0,4,2,0,2,0,35,10,25,21,5,39,1,34,3,6,75,45,945,4,16,183,29,194,0,0,0,1663,43,294,171,588,9,56,0,311,90,0,83,0,0,2,2,1,47
Lukasz Fabianski,WHU,EPL,G,35,3150,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,470,0,3,309,0,6,1,2,0,1185,0,31,1,178,0,5,0,394,179,0,263,0,0,0,0,0,0
Illan Meslier,LEE,EPL,G,35,3150,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,833,0,20,337,0,24,2,6,1,1598,0,4,4,26,0,2,0,263,30,0,167,0,0,0,0,0,0
David Garcia,OSA,LIGA,D,35,3150,8,0,0,1,0,0,0,0,13,2,59,1,0,5,1,5,0,19,26,17,985,0,161,175,2,209,0,0,1,1770,24,112,117,373,1,24,0,401,233,0,138,0,0,1,3,0,2
Gautier Larsonneur,BRE,FRAN,G,35,3150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,830,0,7,295,1,14,1,2,0,1438,0,38,1,130,0,9,0,256,130,0,230,0,0,0,0,0,1
Andre-Pierre Gignac,TIG,LMX,F,35,3149,9,0,0,16,1,0,1,0,165,60,4,40,10,26,5,24,1,3,5,2,719,9,69,72,20,127,0,0,0,1382,186,278,166,496,0,75,0,351,19,6,67,1,0,19,14,12,56
Nayef Aguerd,REN,FRAN,D,35,3148,6,0,0,3,1,0,0,1,28,7,47,1,0,5,1,4,0,22,37,30,2448,0,123,197,9,196,0,0,0,3078,38,154,116,855,2,10,0,287,412,0,130,0,1,2,4,2,11
Juan Musso,UDI,SERI,G,35,3148,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,599,0,8,297,1,14,1,0,0,1170,1,16,4,117,0,2,0,248,118,0,194,0,0,0,0,0,1
Romain Perraud,BRE,FRAN,M/D,36,3141,4,0,0,3,7,0,7,0,45,12,44,131,38,37,5,29,1,3,60,34,1237,37,27,203,31,168,0,0,0,2523,44,313,140,620,13,144,0,530,110,0,81,0,0,2,3,0,48
Unai Bilbao,NEC,LMX,D,35,3139,8,0,0,3,0,0,0,0,29,7,74,2,0,2,0,2,0,39,33,23,994,0,91,150,7,155,0,0,0,1701,49,69,101,278,11,18,1,265,210,0,163,0,0,0,2,1,9
